from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5916637;-1;-1;134;85;34362;-1;-1;-1;-1;-1;-1;54;38923;48;38923;33
5785641;5916637;-1;-1;141;89;35183;-1;-1;-1;-1;-1;-1;57;39134;50;39134;33
5785642;5916637;-1;-1;141;89;35183;-1;-1;-1;-1;-1;-1;57;38960;50;37184;33
5785643;5916637;-1;-1;150;95;37243;-1;-1;-1;-1;-1;-1;57;41517;50;39741;33
5787544;5916637;-1;-1;131;83;33823;-1;-1;-1;-1;-1;-1;53;38497;47;38497;32
5787545;5916637;-1;-1;131;83;33823;-1;-1;-1;-1;-1;-1;53;38784;47;38784;32
5787546;5916637;-1;-1;131;83;33823;-1;-1;-1;-1;-1;-1;56;37987;49;36210;32
5787547;5916637;-1;-1;141;89;35183;-1;-1;-1;-1;-1;-1;56;38378;49;36601;32
5787548;5916637;-1;-1;141;89;35183;-1;-1;-1;-1;-1;-1;56;38499;50;36723;33
5787549;5916637;-1;-1;141;89;35183;-1;-1;-1;-1;-1;-1;57;38742;50;36966;33
5787550;5916637;-1;-1;150;95;37243;-1;-1;-1;-1;-1;-1;57;41316;50;39539;33
5789447;5916637;-1;-1;121;77;31724;-1;-1;-1;-1;-1;-1;49;36307;43;36307;29
5789448;5916637;-1;-1;121;77;31727;-1;-1;-1;-1;-1;-1;50;36672;44;36672;29
5789449;5916637;-1;-1;123;78;32417;-1;-1;-1;-1;-1;-1;51;37098;45;37098;30
5789450;5916637;-1;-1;123;78;32417;-1;-1;-1;-1;-1;-1;51;37417;45;37417;30
5789451;5916637;-1;-1;131;83;33823;-1;-1;-1;-1;-1;-1;53;38744;47;38744;32
5789452;5916637;-1;-1;131;83;33823;-1;-1;-1;-1;-1;-1;56;37886;49;36110;32
5789453;5916637;-1;-1;141;89;35183;-1;-1;-1;-1;-1;-1;56;38063;49;36286;32
5789454;5916637;-1;-1;141;89;35183;-1;-1;-1;-1;-1;-1;56;38327;49;36550;32
5789455;5916637;-1;-1;150;95;37276;-1;-1;-1;-1;-1;-1;57;38547;50;36771;33
5789456;5916637;-1;-1;150;95;37276;-1;-1;-1;-1;-1;-1;63;41226;56;39450;39
5791353;5916637;-1;-1;120;76;31285;-1;-1;-1;-1;-1;-1;49;35898;43;35898;29
5791354;5916637;-1;-1;122;77;32056;-1;-1;-1;-1;-1;-1;50;36489;44;36489;30
5791355;5916637;-1;-1;122;77;31969;-1;-1;-1;-1;-1;-1;50;36670;44;36670;29
5791356;5916637;-1;-1;124;78;32447;-1;-1;-1;-1;-1;-1;51;37295;45;37295;30
5791357;5916637;-1;-1;123;78;32417;-1;-1;-1;-1;-1;-1;51;37409;45;37409;30
5791358;5916637;-1;-1;123;78;32417;-1;-1;-1;-1;-1;-1;51;37380;45;35604;30
